Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-03,01:00:00,0.502,0.071,235.8,1.98,0.05,0.08,0.16
2007-01-03,02:00:00,0.6,0.09,239.9,2.3,0.12,0.12,0.32
2007-01-03,03:00:00,0.528,0.087,244.6,2.14,0.07,0.05,0.33
2007-01-03,04:00:00,0.645,0.097,240.3,2.53,0.07,0.11,0.36
2007-01-03,05:00:00,0.622,0.097,237.7,2.79,0.12,0.13,0.51
2007-01-03,06:00:00,2.013,0.287,233.6,8.51,0.22,0.27,1.06
2007-01-03,07:00:00,1.768,0.275,238.3,7.24,0.22,0.34,1.05
2007-01-03,08:00:00,1.592,0.236,234.9,7.05,0.25,0.29,0.84
2007-01-03,09:00:00,1.649,0.26,240.1,6.77,0.15,0.22,0.91
2007-01-03,10:00:00,1.372,0.175,242.1,5.44,0.16,0.21,0.8
2007-01-03,11:00:00,1.653,0.249,240.3,7.11,0.21,0.22,1.03
2007-01-03,12:00:00,1.622,0.224,241.9,6.98,0.25,0.23,0.97
2007-01-03,13:00:00,1.457,0.233,233.9,6.18,0.21,0.15,0.71
2007-01-03,14:00:00,1.43,0.222,234.9,6.08,0.17,0.28,0.68
2007-01-03,15:00:00,1.246,0.168,242.0,5.22,0.09,0.18,0.58
2007-01-03,16:00:00,1.188,0.168,237.0,5.11,0.11,0.18,0.73
2007-01-03,17:00:00,1.155,0.174,236.4,5.28,0.14,0.13,0.59
2007-01-03,18:00:00,2.291,0.333,241.8,9.62,0.28,0.34,1.24
2007-01-03,19:00:00,2.306,0.341,244.1,9.78,0.27,0.25,1.15
2007-01-03,20:00:00,2.444,0.334,239.6,10.01,0.3,0.49,1.43
2007-01-03,21:00:00,2.399,0.378,236.8,10.47,0.27,0.3,1.27
2007-01-03,22:00:00,1.374,0.185,244.6,5.73,0.21,0.21,0.69
2007-01-03,23:00:00,1.352,0.214,245.7,5.22,0.14,0.15,0.82
2007-01-04,00:00:00,0.484,0.078,240.1,1.85,0.04,0.05,0.2
2007-01-04,01:00:00,0.556,0.064,242.3,2.4,0.06,0.05,0.26
2007-01-04,02:00:00,0.574,0.071,238.0,2.53,0.09,0.02,0.36
2007-01-04,03:00:00,0.346,0.019,237.3,1.59,0.0,0.05,0.21
2007-01-04,04:00:00,0.555,0.103,237.4,2.26,0.03,0.06,0.31
2007-01-04,05:00:00,0.493,0.058,244.3,1.52,0.08,0.03,0.31
2007-01-04,06:00:00,1.819,0.296,240.3,7.54,0.21,0.29,0.95
2007-01-04,07:00:00,1.781,0.259,238.7,7.54,0.22,0.25,0.94
2007-01-04,08:00:00,1.785,0.227,243.6,7.24,0.28,0.3,0.96
2007-01-04,09:00:00,1.379,0.202,245.0,5.69,0.11,0.19,0.76
2007-01-04,10:00:00,1.6,0.247,235.6,7.02,0.13,0.25,0.94
2007-01-04,11:00:00,1.45,0.201,240.7,5.93,0.19,0.31,0.81
2007-01-04,12:00:00,1.475,0.242,241.4,6.17,0.15,0.22,0.77
2007-01-04,13:00:00,1.314,0.179,241.1,5.6,0.15,0.16,0.69
2007-01-04,14:00:00,1.354,0.168,237.7,5.45,0.2,0.22,0.9
2007-01-04,15:00:00,1.43,0.217,236.6,6.53,0.19,0.21,0.81
2007-01-04,16:00:00,1.263,0.227,237.6,5.41,0.17,0.21,0.71
2007-01-04,17:00:00,1.411,0.234,239.6,5.9,0.22,0.19,0.7
2007-01-04,18:00:00,2.172,0.342,237.0,8.83,0.31,0.32,1.16
2007-01-04,19:00:00,2.384,0.328,245.0,9.68,0.25,0.31,1.28
2007-01-04,20:00:00,2.346,0.389,239.3,9.94,0.27,0.24,1.29
2007-01-04,21:00:00,2.51,0.376,240.2,10.45,0.29,0.33,1.59
2007-01-04,22:00:00,1.399,0.196,239.9,5.72,0.16,0.19,0.73
2007-01-04,23:00:00,1.388,0.167,243.3,5.95,0.16,0.27,0.55
2007-01-05,00:00:00,0.521,0.097,236.7,2.55,0.05,0.02,0.22
2007-01-05,01:00:00,0.715,0.122,241.5,2.72,0.11,0.06,0.35
2007-01-05,02:00:00,0.534,0.058,238.9,2.47,0.05,0.11,0.33
2007-01-05,03:00:00,0.636,0.092,236.2,2.88,0.09,0.08,0.38
2007-01-05,04:00:00,0.5,0.049,235.3,2.24,0.09,0.05,0.16
2007-01-05,05:00:00,0.773,0.124,239.7,3.12,0.03,0.18,0.44
2007-01-05,06:00:00,1.745,0.268,238.9,7.29,0.24,0.27,0.97
2007-01-05,07:00:00,1.545,0.239,239.4,6.46,0.14,0.26,0.86
2007-01-05,08:00:00,1.685,0.273,241.2,6.65,0.18,0.26,0.85
2007-01-05,09:00:00,1.557,0.208,243.0,6.04,0.19,0.27,0.99
2007-01-05,10:00:00,1.425,0.202,240.6,5.77,0.17,0.23,0.73
2007-01-05,11:00:00,1.331,0.252,243.2,5.28,0.13,0.15,0.65
2007-01-05,12:00:00,1.434,0.266,238.3,6.04,0.18,0.18,0.84
2007-01-05,13:00:00,1.363,0.241,245.3,5.43,0.2,0.18,0.75
2007-01-05,14:00:00,1.335,0.186,241.9,5.21,0.14,0.23,0.81
2007-01-05,15:00:00,1.22,0.195,236.0,5.25,0.14,0.21,0.69
2007-01-05,16:00:00,1.317,0.206,239.8,5.16,0.19,0.23,0.76
2007-01-05,17:00:00,1.275,0.205,243.2,5.24,0.16,0.14,0.61
2007-01-05,18:00:00,2.378,0.348,240.3,9.81,0.29,0.39,1.27
2007-01-05,19:00:00,2.338,0.342,237.3,9.81,0.29,0.33,1.39
2007-01-05,20:00:00,2.549,0.384,240.8,10.76,0.31,0.42,1.28
2007-01-05,21:00:00,2.503,0.404,238.9,10.39,0.28,0.43,1.56
2007-01-05,22:00:00,1.565,0.215,236.0,6.45,0.17,0.22,0.84
2007-01-05,23:00:00,1.283,0.188,237.0,5.61,0.15,0.2,0.83
2007-01-06,00:00:00,0.641,0.102,240.5,2.76,0.1,0.05,0.38
2007-01-06,01:00:00,0.942,0.165,238.3,3.82,0.09,0.12,0.47
2007-01-06,02:00:00,0.817,0.127,238.3,3.56,0.08,0.09,0.49
2007-01-06,03:00:00,0.465,0.076,238.8,2.0,0.1,0.14,0.21
2007-01-06,04:00:00,0.726,0.108,235.9,2.93,0.15,0.1,0.34
2007-01-06,05:00:00,0.862,0.119,243.6,4.05,0.09,0.14,0.47
2007-01-06,06:00:00,1.954,0.305,241.8,8.01,0.27,0.32,1.22
2007-01-06,07:00:00,2.146,0.335,243.5,9.09,0.28,0.34,1.27
2007-01-06,08:00:00,1.992,0.299,241.1,8.19,0.24,0.35,1.03
2007-01-06,09:00:00,1.878,0.325,242.2,7.88,0.23,0.28,0.92
2007-01-06,10:00:00,1.688,0.265,239.7,7.1,0.21,0.26,1.05
2007-01-06,11:00:00,1.747,0.248,236.9,7.4,0.2,0.27,1.05
2007-01-06,12:00:00,1.725,0.248,244.7,7.03,0.16,0.24,0.98
2007-01-06,13:00:00,1.807,0.285,238.5,7.37,0.17,0.18,1.03
2007-01-06,14:00:00,1.467,0.257,242.0,6.04,0.16,0.17,0.88
2007-01-06,15:00:00,1.309,0.203,240.7,5.39,0.11,0.17,0.72
2007-01-06,16:00:00,1.287,0.204,241.0,5.43,0.2,0.19,0.8
2007-01-06,17:00:00,1.491,0.252,242.1,6.14,0.2,0.28,0.84
2007-01-06,18:00:00,2.65,0.414,240.4,10.89,0.37,0.4,1.34
2007-01-06,19:00:00,2.653,0.413,232.7,11.08,0.3,0.32,1.42
2007-01-06,20:00:00,2.826,0.454,240.0,11.54,0.35,0.39,1.55
2007-01-06,21:00:00,2.837,0.412,233.9,12.08,0.33,0.43,1.58
2007-01-06,22:00:00,1.461,0.247,238.3,6.25,0.17,0.29,0.85
2007-01-06,23:00:00,1.692,0.267,241.2,7.2,0.2,0.23,0.99
2007-01-07,00:00:00,0.773,0.151,246.2,3.0,0.08,0.17,0.44
2007-01-07,01:00:00,0.671,0.089,241.3,2.88,0.06,0.08,0.34
2007-01-07,02:00:00,0.644,0.109,240.1,2.71,0.14,0.17,0.39
2007-01-07,03:00:00,0.524,0.11,241.9,2.07,0.06,0.01,0.32
2007-01-07,04:00:00,0.5,0.097,245.1,1.95,0.02,0.08,0.36
2007-01-07,05:00:00,0.642,0.124,235.3,3.03,0.07,0.13,0.41
2007-01-07,06:00:00,1.937,0.29,238.3,7.99,0.24,0.31,1.09
2007-01-07,07:00:00,2.153,0.288,231.5,9.53,0.27,0.31,1.25
2007-01-07,08:00:00,1.969,0.294,238.6,8.32,0.2,0.24,1.18
2007-01-07,09:00:00,1.782,0.259,238.5,7.16,0.22,0.22,1.06
2007-01-07,10:00:00,1.905,0.293,239.0,8.39,0.25,0.27,1.02
2007-01-07,11:00:00,1.777,0.266,239.4,7.41,0.24,0.28,0.96
2007-01-07,12:00:00,1.669,0.269,240.2,6.55,0.2,0.28,0.91
2007-01-07,13:00:00,1.623,0.223,239.6,7.0,0.22,0.13,1.06
2007-01-07,14:00:00,1.511,0.244,239.4,6.35,0.15,0.2,0.98
2007-01-07,15:00:00,1.497,0.246,239.8,6.28,0.18,0.24,1.02
2007-01-07,16:00:00,1.57,0.242,244.9,6.18,0.22,0.26,0.77
2007-01-07,17:00:00,1.347,0.211,241.3,5.91,0.16,0.22,0.77
2007-01-07,18:00:00,2.702,0.399,241.8,11.31,0.35,0.45,1.39
2007-01-07,19:00:00,2.896,0.406,240.0,11.85,0.34,0.44,1.58
2007-01-07,20:00:00,2.923,0.471,238.1,12.01,0.33,0.4,1.44
2007-01-07,21:00:00,2.852,0.474,239.0,11.43,0.32,0.52,1.65
2007-01-07,22:00:00,1.415,0.224,244.2,5.91,0.12,0.25,0.97
2007-01-07,23:00:00,1.684,0.247,239.8,6.87,0.22,0.26,0.93
2007-01-08,00:00:00,0.359,0.072,240.5,1.77,0.04,0.01,0.11
2007-01-08,01:00:00,0.374,0.037,239.3,1.67,0.02,0.09,0.13
2007-01-08,02:00:00,0.575,0.086,235.2,2.53,0.03,0.06,0.34
2007-01-08,03:00:00,0.629,0.105,238.7,2.66,0.08,0.15,0.36
2007-01-08,04:00:00,0.568,0.06,235.8,2.76,0.07,0.06,0.26
2007-01-08,05:00:00,0.479,0.077,243.7,1.83,0.04,0.11,0.24
2007-01-08,06:00:00,1.65,0.244,241.9,6.9,0.26,0.2,0.93
2007-01-08,07:00:00,1.734,0.233,246.6,6.92,0.21,0.25,1.03
2007-01-08,08:00:00,1.739,0.272,245.0,6.99,0.29,0.23,1.09
2007-01-08,09:00:00,1.695,0.23,237.0,7.03,0.19,0.25,0.89
2007-01-08,10:00:00,1.504,0.186,241.0,6.41,0.16,0.23,0.7
2007-01-08,11:00:00,1.545,0.231,241.3,6.26,0.22,0.18,0.98
2007-01-08,12:00:00,1.442,0.214,240.5,5.71,0.18,0.24,0.72
2007-01-08,13:00:00,1.267,0.184,241.8,5.02,0.13,0.24,0.78
2007-01-08,14:00:00,1.396,0.212,240.6,5.74,0.17,0.3,0.8
2007-01-08,15:00:00,1.232,0.195,236.0,4.85,0.17,0.22,0.61
2007-01-08,16:00:00,1.118,0.169,240.0,4.82,0.07,0.18,0.81
2007-01-08,17:00:00,1.238,0.206,241.0,5.0,0.18,0.17,0.7
2007-01-08,18:00:00,2.354,0.375,240.1,9.8,0.26,0.37,1.22
2007-01-08,19:00:00,2.432,0.339,241.7,10.07,0.29,0.4,1.45
2007-01-08,20:00:00,2.247,0.336,240.2,9.46,0.26,0.31,1.22
2007-01-08,21:00:00,2.433,0.377,239.6,9.92,0.29,0.29,1.26
2007-01-08,22:00:00,1.559,0.222,240.4,6.42,0.22,0.23,0.98
2007-01-08,23:00:00,1.339,0.225,240.0,5.67,0.15,0.21,0.75
2007-01-09,00:00:00,0.676,0.078,235.9,2.82,0.04,0.0,0.45
2007-01-09,01:00:00,0.346,0.06,232.2,1.38,0.06,0.08,0.14
2007-01-09,02:00:00,0.385,0.082,240.4,1.41,0.05,0.06,0.26
2007-01-09,03:00:00,0.543,0.116,237.3,2.26,0.06,0.04,0.26
2007-01-09,04:00:00,0.398,0.048,238.0,1.88,0.0,0.12,0.2
2007-01-09,05:00:00,0.782,0.123,238.2,3.43,0.11,0.1,0.6
2007-01-09,06:00:00,1.906,0.326,241.4,7.76,0.28,0.29,0.99
2007-01-09,07:00:00,1.766,0.252,237.1,7.69,0.2,0.27,0.86
2007-01-09,08:00:00,1.624,0.215,243.0,6.53,0.21,0.29,0.95
2007-01-09,09:00:00,1.68,0.295,241.7,7.04,0.19,0.24,1.03
2007-01-09,10:00:00,1.423,0.224,244.6,5.92,0.2,0.22,0.8
2007-01-09,11:00:00,1.629,0.222,234.1,7.37,0.18,0.21,0.81
2007-01-09,12:00:00,1.348,0.199,242.6,5.44,0.15,0.21,0.81
2007-01-09,13:00:00,1.409,0.235,242.2,5.95,0.16,0.28,0.81
2007-01-09,14:00:00,1.272,0.216,238.4,5.45,0.11,0.21,0.65
2007-01-09,15:00:00,1.253,0.153,247.8,5.17,0.16,0.26,0.71
2007-01-09,16:00:00,1.34,0.197,239.6,5.35,0.17,0.25,0.79
2007-01-09,17:00:00,1.148,0.181,241.2,4.52,0.12,0.2,0.76
2007-01-09,18:00:00,2.519,0.375,237.6,10.73,0.28,0.37,1.39
2007-01-09,19:00:00,2.425,0.356,238.9,10.5,0.26,0.35,1.39
2007-01-09,20:00:00,2.402,0.349,235.4,10.46,0.32,0.3,1.18
2007-01-09,21:00:00,2.682,0.426,246.0,11.31,0.3,0.41,1.6
2007-01-09,22:00:00,1.498,0.221,237.5,6.31,0.2,0.26,0.78
2007-01-09,23:00:00,1.321,0.194,244.4,5.17,0.18,0.24,0.73
2007-01-10,00:00:00,0.476,0.051,244.5,2.07,0.0,0.07,0.25
2007-01-10,01:00:00,0.785,0.14,237.1,3.24,0.13,0.14,0.41
2007-01-10,02:00:00,0.789,0.125,240.4,2.93,0.14,0.1,0.34
2007-01-10,03:00:00,0.545,0.024,238.4,2.05,0.05,0.02,0.34
2007-01-10,04:00:00,0.559,0.064,238.2,2.44,0.12,0.15,0.27
2007-01-10,05:00:00,0.599,0.073,239.4,2.33,0.09,0.14,0.32
2007-01-10,06:00:00,1.723,0.258,244.5,6.99,0.22,0.29,0.88
2007-01-10,07:00:00,1.66,0.259,239.2,6.96,0.13,0.28,0.97
2007-01-10,08:00:00,1.562,0.244,240.9,6.22,0.17,0.27,0.76
2007-01-10,09:00:00,1.496,0.247,237.6,6.34,0.13,0.27,0.76
2007-01-10,10:00:00,1.378,0.19,240.5,5.66,0.17,0.22,0.81
2007-01-10,11:00:00,1.51,0.206,242.7,5.75,0.15,0.11,0.87
2007-01-10,12:00:00,1.449,0.204,239.5,6.33,0.24,0.22,0.74
2007-01-10,13:00:00,1.279,0.187,244.9,5.29,0.14,0.15,0.71
2007-01-10,14:00:00,1.215,0.188,239.5,5.71,0.1,0.22,0.66
2007-01-10,15:00:00,1.16,0.161,235.7,5.1,0.13,0.22,0.65
2007-01-10,16:00:00,1.475,0.231,240.2,6.31,0.21,0.2,0.91
2007-01-10,17:00:00,1.148,0.181,238.8,4.62,0.12,0.21,0.6
2007-01-10,18:00:00,2.623,0.372,239.8,11.03,0.28,0.39,1.56
2007-01-10,19:00:00,2.426,0.37,247.8,9.91,0.29,0.4,1.43
2007-01-10,20:00:00,2.398,0.34,240.5,10.24,0.28,0.37,1.3
2007-01-10,21:00:00,2.512,0.376,238.2,10.81,0.34,0.37,1.21
2007-01-10,22:00:00,1.255,0.18,239.3,5.17,0.14,0.22,0.73
2007-01-10,23:00:00,1.264,0.181,244.6,5.37,0.2,0.18,0.79
2007-01-11,00:00:00,0.611,0.082,236.5,2.82,0.07,0.06,0.36
2007-01-11,01:00:00,0.587,0.061,238.6,2.63,0.08,0.08,0.37
2007-01-11,02:00:00,0.578,0.094,241.5,2.43,0.13,0.05,0.26
2007-01-11,03:00:00,0.621,0.131,239.3,2.73,0.09,0.14,0.37
2007-01-11,04:00:00,0.547,0.071,233.5,2.51,0.04,0.13,0.29
2007-01-11,05:00:00,0.552,0.078,238.7,2.41,0.08,0.09,0.36
2007-01-11,06:00:00,1.839,0.283,238.4,7.87,0.24,0.24,1.1
2007-01-11,07:00:00,1.971,0.263,239.1,8.4,0.23,0.28,1.08
2007-01-11,08:00:00,1.624,0.245,239.7,6.74,0.16,0.28,1.03
2007-01-11,09:00:00,1.639,0.266,241.5,6.83,0.17,0.26,0.98
2007-01-11,10:00:00,1.176,0.174,241.5,5.14,0.16,0.15,0.5
2007-01-11,11:00:00,1.614,0.21,242.2,6.68,0.24,0.29,1.02
2007-01-11,12:00:00,1.345,0.203,240.4,5.71,0.14,0.29,0.73
2007-01-11,13:00:00,1.578,0.236,236.0,6.56,0.17,0.24,0.81
2007-01-11,14:00:00,1.198,0.181,235.5,5.24,0.12,0.12,0.65
2007-01-11,15:00:00,1.075,0.164,244.0,4.03,0.12,0.13,0.62
2007-01-11,16:00:00,1.231,0.206,239.0,4.99,0.17,0.19,0.62
2007-01-11,17:00:00,1.253,0.156,235.5,4.96,0.21,0.19,0.63
2007-01-11,18:00:00,2.407,0.393,238.6,10.12,0.3,0.3,1.4
2007-01-11,19:00:00,2.483,0.353,237.8,10.4,0.29,0.34,1.19
2007-01-11,20:00:00,2.359,0.332,240.5,9.9,0.29,0.34,1.25
2007-01-11,21:00:00,2.544,0.387,240.7,10.76,0.3,0.38,1.46
2007-01-11,22:00:00,1.302,0.193,239.9,5.38,0.17,0.15,0.72
2007-01-11,23:00:00,1.149,0.155,236.9,5.1,0.12,0.18,0.64
2007-01-12,00:00:00,0.679,0.122,236.4,3.06,0.09,0.08,0.52
2007-01-12,01:00:00,0.482,0.089,240.8,1.98,0.1,0.06,0.29
2007-01-12,02:00:00,0.658,0.077,243.1,2.93,0.03,0.15,0.23
2007-01-12,03:00:00,0.513,0.105,242.3,2.38,0.03,0.07,0.26
2007-01-12,04:00:00,0.495,0.05,242.9,2.36,0.05,0.01,0.21
2007-01-12,05:00:00,0.491,0.073,241.3,1.94,0.06,0.08,0.21
2007-01-12,06:00:00,1.816,0.267,239.7,7.5,0.22,0.25,0.99
2007-01-12,07:00:00,1.942,0.299,239.0,8.36,0.25,0.28,1.12
2007-01-12,08:00:00,1.737,0.295,236.4,7.38,0.22,0.2,0.87
2007-01-12,09:00:00,1.768,0.253,238.4,7.26,0.23,0.29,0.83
2007-01-12,10:00:00,1.48,0.263,236.8,6.3,0.16,0.14,0.87
2007-01-12,11:00:00,1.39,0.218,245.9,5.41,0.09,0.2,0.85
2007-01-12,12:00:00,1.319,0.22,240.8,5.57,0.16,0.3,0.61
2007-01-12,13:00:00,1.387,0.201,239.0,5.93,0.18,0.19,0.78
2007-01-12,14:00:00,1.295,0.176,234.7,5.77,0.15,0.24,0.71
2007-01-12,15:00:00,1.172,0.18,249.4,4.91,0.12,0.23,0.47
2007-01-12,16:00:00,1.243,0.183,241.7,5.16,0.16,0.21,0.74
2007-01-12,17:00:00,1.232,0.189,231.2,5.46,0.14,0.23,0.73
2007-01-12,18:00:00,2.373,0.336,237.7,10.06,0.27,0.4,1.38
2007-01-12,19:00:00,2.209,0.342,241.5,9.29,0.25,0.37,1.29
2007-01-12,20:00:00,2.298,0.352,243.6,9.58,0.29,0.38,1.32
2007-01-12,21:00:00,2.503,0.373,237.8,10.39,0.3,0.34,1.36
2007-01-12,22:00:00,1.28,0.205,240.0,5.17,0.14,0.12,0.72
2007-01-12,23:00:00,1.488,0.219,237.2,6.44,0.13,0.19,0.76
2007-01-13,00:00:00,0.615,0.119,240.2,2.62,0.01,0.12,0.24
2007-01-13,01:00:00,0.49,0.064,243.7,2.05,0.0,0.08,0.41
2007-01-13,02:00:00,0.744,0.119,243.2,3.61,0.06,0.13,0.45
2007-01-13,03:00:00,0.586,0.091,238.8,2.35,0.07,0.02,0.27
2007-01-13,04:00:00,0.548,0.099,239.0,2.32,0.1,0.08,0.3
2007-01-13,05:00:00,0.543,0.099,237.5,2.19,0.05,0.07,0.19
2007-01-13,06:00:00,2.044,0.312,241.2,8.45,0.25,0.34,1.11
2007-01-13,07:00:00,1.943,0.316,242.8,8.19,0.16,0.29,1.18
2007-01-13,08:00:00,2.023,0.301,241.8,8.61,0.25,0.28,1.09
2007-01-13,09:00:00,1.671,0.226,233.1,7.06,0.2,0.27,0.8
2007-01-13,10:00:00,1.664,0.262,241.0,6.97,0.2,0.23,1.03
2007-01-13,11:00:00,1.588,0.255,236.8,6.4,0.22,0.24,0.93
2007-01-13,12:00:00,1.626,0.226,236.4,7.21,0.17,0.21,0.98
2007-01-13,13:00:00,1.658,0.229,239.5,6.93,0.19,0.27,0.87
2007-01-13,14:00:00,1.526,0.277,232.3,6.53,0.17,0.22,0.76
2007-01-13,15:00:00,1.532,0.252,241.6,6.1,0.18,0.22,0.84
2007-01-13,16:00:00,1.523,0.221,242.0,6.41,0.2,0.25,0.84
2007-01-13,17:00:00,1.369,0.206,235.6,5.84,0.17,0.27,0.65
2007-01-13,18:00:00,2.752,0.411,235.2,11.54,0.34,0.4,1.63
2007-01-13,19:00:00,2.534,0.368,240.7,10.28,0.3,0.45,1.4
2007-01-13,20:00:00,2.686,0.413,236.7,11.4,0.31,0.45,1.52
2007-01-13,21:00:00,2.868,0.44,236.2,12.09,0.39,0.39,1.51
2007-01-13,22:00:00,1.7,0.223,237.5,7.57,0.2,0.24,0.95
2007-01-13,23:00:00,1.603,0.268,238.9,6.67,0.25,0.24,0.87
2007-01-14,00:00:00,0.381,0.025,238.7,1.72,0.09,0.0,0.19
2007-01-14,01:00:00,0.702,0.106,238.0,3.04,0.15,0.05,0.4
2007-01-14,02:00:00,0.57,0.066,242.2,2.09,0.08,0.16,0.3
2007-01-14,03:00:00,0.704,0.118,240.0,2.68,0.13,0.12,0.36
2007-01-14,04:00:00,0.753,0.155,238.7,3.14,0.08,0.09,0.44
2007-01-14,05:00:00,0.617,0.119,239.5,2.45,0.06,0.07,0.4
2007-01-14,06:00:00,2.183,0.288,237.9,9.33,0.24,0.25,1.28
2007-01-14,07:00:00,2.12,0.332,237.1,8.86,0.22,0.35,1.17
2007-01-14,08:00:00,2.025,0.286,244.9,8.29,0.26,0.38,0.99
2007-01-14,09:00:00,1.565,0.235,244.5,6.11,0.18,0.27,0.85
2007-01-14,10:00:00,1.575,0.245,232.2,6.82,0.2,0.27,0.83
2007-01-14,11:00:00,1.774,0.272,243.6,6.93,0.25,0.22,1.03
2007-01-14,12:00:00,1.521,0.206,238.0,6.4,0.18,0.24,0.8
2007-01-14,13:00:00,1.451,0.204,241.4,5.67,0.19,0.17,0.85
2007-01-14,14:00:00,1.581,0.225,242.4,6.47,0.16,0.22,0.91
2007-01-14,15:00:00,1.608,0.252,237.6,6.6,0.25,0.28,0.89
2007-01-14,16:00:00,1.488,0.215,243.2,5.92,0.22,0.25,0.7
2007-01-14,17:00:00,1.468,0.238,239.5,6.24,0.24,0.34,0.86
2007-01-14,18:00:00,2.693,0.421,242.0,11.21,0.38,0.41,1.52
2007-01-14,19:00:00,2.657,0.432,242.3,11.06,0.3,0.35,1.5
2007-01-14,20:00:00,2.731,0.404,242.1,11.45,0.35,0.37,1.47
2007-01-14,21:00:00,2.723,0.409,241.7,11.36,0.28,0.39,1.57
2007-01-14,22:00:00,1.582,0.194,241.5,6.45,0.17,0.27,0.9
2007-01-14,23:00:00,1.713,0.269,238.8,7.38,0.19,0.22,1.0
2007-01-15,00:00:00,0.645,0.061,238.9,2.73,0.04,0.15,0.38
2007-01-15,01:00:00,0.612,0.122,243.3,2.39,0.04,0.04,0.21
